class,years,gender,lists,sdoi,Missing_notes
2017,4,f,1,FALSE,FALSE
2017,6,m,0,FALSE,FALSE
2017,13,m,2,TRUE,FALSE
2017,7,f,2,FALSE,FALSE
2017,5,m,3,FALSE,FALSE
2017,7,m,3,FALSE,FALSE
2017,7,f,3,FALSE,FALSE
2017,13,m,3,TRUE,FALSE
2017,13,m,2,TRUE,FALSE
2017,13,m,1,TRUE,FALSE
2017,13,m,1,TRUE,FALSE
2017,4,f,1,FALSE,FALSE
2017,7,m,0,FALSE,FALSE
2017,5,f,3,FALSE,FALSE
2017,5,m,1,FALSE,FALSE
2017,5,f,2,FALSE,FALSE
2017,7,f,3,FALSE,FALSE
2017,13,f,3,TRUE,FALSE
2017,7,f,2,FALSE,FALSE
2017,7,m,1,FALSE,FALSE
2017,7,m,3,FALSE,FALSE
2017,6,f,2,FALSE,FALSE
2017,4,f,3,FALSE,FALSE
2017,4,m,0,FALSE,FALSE
2017,4,m,0,FALSE,FALSE
2017,13,m,3,TRUE,FALSE
2017,13,f,3,TRUE,FALSE
2017,4,f,2,FALSE,FALSE
2017,4,m,0,FALSE,FALSE
2017,13,m,0,TRUE,FALSE
2017,13,m,0,TRUE,FALSE
2017,6,m,2,FALSE,FALSE
2017,12,f,NA,FALSE,TRUE
2017,4,f,3,FALSE,FALSE
2017,4,m,0,FALSE,FALSE
2017,13,f,3,TRUE,FALSE
2017,7,m,3,FALSE,FALSE
2017,6,f,3,FALSE,FALSE
2017,13,f,0,TRUE,FALSE
2017,13,f,3,TRUE,FALSE
2017,6,m,3,FALSE,FALSE
2017,13,m,2,TRUE,FALSE
2017,4,f,3,FALSE,FALSE
2017,6,m,0,FALSE,FALSE
2017,6,m,3,FALSE,FALSE
2017,13,m,3,TRUE,FALSE
2017,6,m,3,FALSE,FALSE
2017,13,f,3,TRUE,FALSE
2017,4,f,3,FALSE,FALSE
2017,6,f,2,FALSE,FALSE
2017,13,f,3,TRUE,FALSE
2017,6,f,3,FALSE,FALSE
2017,6,m,1,FALSE,FALSE
2017,13,f,3,TRUE,FALSE
2017,13,f,2,TRUE,FALSE
2017,2,m,0,FALSE,FALSE
2017,11,f,1,FALSE,FALSE
2017,6,m,0,FALSE,FALSE
2017,6,m,1,FALSE,FALSE
2017,4,m,3,FALSE,FALSE
2017,13,m,2,TRUE,FALSE
2017,4,f,0,FALSE,FALSE
2017,13,f,0,TRUE,FALSE
2017,6,f,NA,FALSE,TRUE
2017,13,f,0,TRUE,FALSE
2017,2,m,NA,FALSE,TRUE
2017,4,m,3,FALSE,FALSE
2017,6,m,0,FALSE,FALSE
2017,13,m,2,TRUE,FALSE
2017,13,f,1,TRUE,FALSE
2017,6,m,1,FALSE,FALSE
2017,7,f,2,FALSE,FALSE
2017,13,f,3,TRUE,FALSE
2017,6,f,3,FALSE,FALSE
2017,6,m,2,FALSE,FALSE
2017,5,f,1,FALSE,FALSE
2017,8,f,3,FALSE,FALSE
2017,8,m,2,FALSE,FALSE
2017,5,f,0,FALSE,FALSE
2017,13,f,2,TRUE,FALSE
2017,4,m,3,FALSE,FALSE
2017,4,m,3,FALSE,FALSE
2017,13,m,0,TRUE,FALSE
2017,6,m,1,FALSE,FALSE
2017,6,f,3,FALSE,FALSE
2017,6,m,1,FALSE,FALSE
2017,6,f,1,FALSE,FALSE
2017,7,f,3,FALSE,FALSE
2017,7,f,3,FALSE,FALSE
2017,4,f,3,FALSE,FALSE
2017,7,f,3,FALSE,FALSE
2017,3,f,3,FALSE,FALSE
2017,3,f,0,FALSE,FALSE
2017,3,m,1,FALSE,FALSE
2017,6,m,3,FALSE,FALSE
2017,13,m,2,TRUE,FALSE
2017,6,m,0,FALSE,FALSE
2017,6,m,1,FALSE,FALSE
2017,4,m,3,FALSE,FALSE
2017,7,f,3,FALSE,FALSE
2017,5,m,3,FALSE,FALSE
2017,4,f,0,FALSE,FALSE
2017,6,m,3,FALSE,FALSE
2017,5,f,2,FALSE,FALSE
2017,13,f,3,TRUE,FALSE
2017,7,f,2,FALSE,FALSE
2017,4,m,3,FALSE,FALSE
2017,4,m,0,FALSE,FALSE
2017,13,m,1,TRUE,FALSE
2017,13,f,1,TRUE,FALSE
2017,7,f,3,FALSE,FALSE
2017,7,f,3,FALSE,FALSE
2017,13,m,1,TRUE,FALSE
2017,4,m,2,FALSE,FALSE
2017,5,f,1,FALSE,FALSE
2017,5,m,0,FALSE,FALSE
2017,6,f,3,FALSE,FALSE
2017,13,m,3,TRUE,FALSE
2017,13,f,3,TRUE,FALSE
2017,6,f,1,FALSE,FALSE
2017,3,f,3,FALSE,FALSE
2017,13,f,3,TRUE,FALSE
2017,5,m,2,FALSE,FALSE
2017,7,f,3,FALSE,FALSE
2017,6,f,3,FALSE,FALSE
2017,7,m,1,FALSE,FALSE
2017,13,f,1,TRUE,FALSE
2017,7,f,2,FALSE,FALSE
2017,13,m,1,TRUE,FALSE
2017,6,m,2,FALSE,FALSE
2017,13,f,2,TRUE,FALSE
2017,4,f,2,FALSE,FALSE
2017,4,f,2,FALSE,FALSE
2017,4,m,0,FALSE,FALSE
2017,5,f,2,FALSE,FALSE
2017,2,f,3,FALSE,FALSE
2017,4,m,0,FALSE,FALSE
2017,6,f,NA,FALSE,TRUE
2017,13,f,3,TRUE,FALSE
2017,13,m,0,TRUE,FALSE
2017,5,m,0,FALSE,FALSE
2017,5,f,3,FALSE,FALSE
2017,6,f,2,FALSE,FALSE
2017,7,f,3,FALSE,FALSE
2017,13,m,1,TRUE,FALSE
2017,7,f,3,FALSE,FALSE
2017,4,f,3,FALSE,FALSE
2017,13,m,2,TRUE,FALSE
2017,7,f,2,FALSE,FALSE
2017,6,f,2,FALSE,FALSE
2017,6,m,0,FALSE,FALSE
2017,13,m,2,TRUE,FALSE
2017,7,m,1,FALSE,FALSE
2017,4,f,0,FALSE,FALSE
2017,7,f,3,FALSE,FALSE
2017,4,m,1,FALSE,FALSE
2017,13,f,3,TRUE,FALSE
2017,7,m,1,FALSE,FALSE
2017,7,f,1,FALSE,FALSE
2017,6,f,2,FALSE,FALSE
2017,4,f,0,FALSE,FALSE
2017,8,f,3,FALSE,FALSE
2017,13,m,0,TRUE,FALSE
2017,4,f,3,FALSE,FALSE
2017,4,f,1,FALSE,FALSE
2017,6,m,0,FALSE,FALSE
2017,7,m,1,FALSE,FALSE
2017,13,f,3,TRUE,FALSE
2017,7,f,3,FALSE,FALSE
2017,7,f,2,FALSE,FALSE
2017,8,f,NA,FALSE,TRUE
2017,13,m,0,TRUE,FALSE
2017,6,f,2,FALSE,FALSE
2017,6,m,3,FALSE,FALSE
2017,13,m,1,TRUE,FALSE
2017,7,f,3,FALSE,FALSE
2017,7,m,3,FALSE,FALSE
2017,13,m,3,TRUE,FALSE
2017,4,m,0,FALSE,FALSE
2017,5,f,0,FALSE,FALSE
2017,3,f,3,FALSE,FALSE
2017,4,f,3,FALSE,FALSE
2017,7,m,0,FALSE,FALSE
2017,6,m,0,FALSE,FALSE
2017,6,m,1,FALSE,FALSE
2017,7,f,2,FALSE,FALSE
2017,13,m,2,TRUE,FALSE
2017,6,m,1,FALSE,FALSE
2017,13,m,2,TRUE,FALSE
2017,4,f,0,FALSE,FALSE
2017,13,f,3,TRUE,FALSE
2017,6,f,3,FALSE,FALSE
2017,7,f,1,FALSE,FALSE
2017,4,f,3,FALSE,FALSE
2017,4,f,1,FALSE,FALSE
2017,5,m,0,FALSE,FALSE
2017,6,f,1,FALSE,FALSE
2017,13,f,3,TRUE,FALSE
2017,6,f,2,FALSE,FALSE
2017,6,m,1,FALSE,FALSE
2017,5,f,1,FALSE,FALSE
2017,7,m,1,FALSE,FALSE
2017,13,f,3,TRUE,FALSE
2017,6,m,1,FALSE,FALSE
2017,7,m,1,FALSE,FALSE
2017,6,m,0,FALSE,FALSE
2017,7,m,1,FALSE,FALSE
2017,5,f,3,FALSE,FALSE
2017,5,f,3,FALSE,FALSE
2017,4,f,2,FALSE,FALSE
2017,6,f,1,FALSE,FALSE
2017,6,m,0,FALSE,FALSE
2017,7,m,3,FALSE,FALSE
2017,13,f,3,TRUE,FALSE
2017,4,f,0,FALSE,FALSE
2017,4,f,0,FALSE,FALSE
2017,4,f,3,FALSE,FALSE
2017,13,m,3,TRUE,FALSE
2017,7,m,3,FALSE,FALSE
2017,7,m,1,FALSE,FALSE
2017,6,m,3,FALSE,FALSE
2017,5,f,3,FALSE,FALSE
2017,7,f,3,FALSE,FALSE
2017,13,m,2,TRUE,FALSE
2017,2,f,3,FALSE,FALSE
2017,2,f,3,FALSE,FALSE
2017,4,m,1,FALSE,FALSE
2017,2,f,0,FALSE,FALSE
2017,2,f,3,FALSE,FALSE