Date,Time,PokeStop,Potion,SuperPotion,HyperPotion,MaxPotion,Revive,PokeBall,GreatBall,UltraBall,RazzBerry,Total
11/14,8:50,Mapunapuna Garden Relief,,,,,,3,,1,,4
11/14,8:57,Mapunapuna Garden Relief,1,1,,,,,2,,,4
11/14,9:03,Mapunapuna Garden Relief,,,,,,3,1,,,4
11/14,9:10,Mapunapuna Garden Relief,,,,,,3,,,,3
11/14,9:16,Mapunapuna Garden Relief,2,,,,1,,,,,3
11/14,9:21,Mapunapuna Garden Relief,,,1,,,2,,,,3
11/14,9:27,Mapunapuna Garden Relief,,,,,,1,2,,,3
11/14,9:33,Mapunapuna Garden Relief,,1,,,,2,,,,3
11/14,9:56,Mapunapuna Garden Relief,,,,,,1,1,1,,3
11/14,10:08,Mapunapuna Garden Relief,,,,,,1,1,,1,3
11/14,10:14,Mapunapuna Garden Relief,,1,,,,2,,,,3
11/14,10:20,Mapunapuna Garden Relief,1,,,,,2,,,,3
11/14,10:27,Mapunapuna Garden Relief,,1,,,,2,,,,3
11/14,10:32,Mapunapuna Garden Relief,,,,,,1,1,,1,3
11/14,10:38,Mapunapuna Garden Relief,,,,,,3,1,,,4
11/14,10:44,Mapunapuna Garden Relief,,,,,,3,,,,3
11/14,10:50,Mapunapuna Garden Relief,,,,,,1,2,,1,4
11/14,10:56,Mapunapuna Garden Relief,1,,,,,2,,,,3
11/14,11:02,Mapunapuna Garden Relief,,,,,,2,,,1,3
11/14,11:10,Mapunapuna Garden Relief,1,,,,,4,,,,5
11/14,11:16,Mapunapuna Garden Relief,1,1,,,,1,,,,3
11/14,11:21,Mapunapuna Garden Relief,,,,,,3,,,,3
11/14,11:28,Mapunapuna Garden Relief,,1,,,,2,,,,3
11/14,11:33,Mapunapuna Garden Relief,,,,,,3,,,,3
11/14,11:40,Mapunapuna Garden Relief,1,,1,,,,1,,,3
11/14,11:46,Mapunapuna Garden Relief,,,,,,2,1,,,3
11/14,11:52,Mapunapuna Garden Relief,,,,,,2,1,,,3
11/14,11:58,Mapunapuna Garden Relief,,,,,1,3,,,,4
11/16,13:10,Other,1,,,,,1,,,1,3
11/16,13:11,Other,1,,,,,,2,1,1,5
11/16,14:41,Other,,,,,,3,,,,3
11/16,14:41,Other,1,,,,,1,1,,,3
11/16,14:47,Other,,,1,,,,2,,,3
11/16,14:49,Other,1,,,,2,,,,,3
11/16,14:49,Other,2,,1,,,,,1,,4
11/16,14:49,Other,1,,1,,,,,1,,3
11/16,14:49,Other,1,,,,1,,1,,,3
11/16,14:52,Other,,,,,,1,1,,1,3
11/16,15:05,Other,,,1,,,1,,,1,3
11/16,15:11,Other,,,1,,1,1,,,,3
11/16,15:23,Other,,,1,,,1,1,,,3
11/16,15:23,Other,1,1,,,,1,,,,3
11/16,15:25,Other,,1,,,,2,,1,,4
11/16,15:28,Other,,,,,1,2,,1,,4
11/16,15:35,Other,,2,,,,,,,1,3
11/16,15:36,Other,,,,,,3,1,,,4
11/16,15:38,Other,,,,,,2,,,1,3
11/17,9:01,Mapunapuna Garden Relief,,,,,3,3,1,,,7
11/17,9:06,Mapunapuna Garden Relief,,,,,,4,,,,4
11/17,9:12,Mapunapuna Garden Relief,1,1,,,,1,,,,3
11/17,9:22,Mapunapuna Garden Relief,,,,,,2,,,1,3
11/17,9:28,Mapunapuna Garden Relief,,,,,2,1,,1,,4
11/17,10:00,Mapunapuna Garden Relief,,,,,,3,,,,3
11/17,10:10,Mapunapuna Garden Relief,1,,,,,2,,,,3
11/17,10:23,Mapunapuna Garden Relief,1,,,,,1,1,,,3
11/17,10:29,Mapunapuna Garden Relief,,1,,,,2,1,,,4
11/17,10:36,Mapunapuna Garden Relief,,1,,,,1,,1,,3
11/17,10:41,Mapunapuna Garden Relief,1,,,,,1,1,,,3
11/17,10:47,Mapunapuna Garden Relief,1,,,,,2,1,,,4
11/17,10:53,Mapunapuna Garden Relief,,,,,,2,1,,,3
11/17,10:59,Mapunapuna Garden Relief,,,,,,3,,,,3
11/17,11:05,Mapunapuna Garden Relief,,,,,,1,1,1,,3
11/17,11:11,Mapunapuna Garden Relief,,,,,,3,2,,,5
11/17,11:17,Mapunapuna Garden Relief,1,,,,,1,,1,,3
11/17,11:23,Mapunapuna Garden Relief,2,,1,,,,,,,3
11/17,11:29,Mapunapuna Garden Relief,,,,,,2,,,1,3
11/17,11:35,Mapunapuna Garden Relief,1,,,,,1,,,1,3
11/17,11:47,Mapunapuna Garden Relief,1,,,,,3,,,,4
11/17,11:53,Mapunapuna Garden Relief,1,1,1,,,,,,,3
11/17,11:59,Mapunapuna Garden Relief,,1,,,1,1,,1,,4
11/17,12:05,Mapunapuna Garden Relief,1,2,,,,,,,,3
11/17,12:12,Mapunapuna Garden Relief,1,1,,,,,1,,,3
11/17,12:17,Mapunapuna Garden Relief,,,1,,,1,,1,1,4
11/18,7:21,Other,2,1,,,1,,1,,1,6
11/18,8:14,Mapunapuna Garden Relief,1,,,,,3,,,,4
11/18,8:20,Mapunapuna Garden Relief,,1,,,,2,,,,3
11/18,8:35,Mapunapuna Garden Relief,1,,,,1,,1,,,3
11/18,8:42,Mapunapuna Garden Relief,,,,,,3,,,,3
11/18,8:47,Mapunapuna Garden Relief,,,,,,2,1,,,3
11/18,9:26,Mapunapuna Garden Relief,,,,,,1,2,,,3
11/18,9:33,Mapunapuna Garden Relief,,,,,1,2,,,,3
11/18,9:45,Mapunapuna Garden Relief,,,,,,3,,,,3
11/18,9:51,Mapunapuna Garden Relief,1,,,,,2,1,,,4
11/18,9:57,Mapunapuna Garden Relief,1,,,,,1,,,1,3
11/18,10:03,Mapunapuna Garden Relief,,1,,,,,2,,,3
11/18,10:08,Mapunapuna Garden Relief,2,,,,,,,,1,3
11/20,14:31,Other,2,,,,,1,,,,3
11/21,11:44,Other,,,,,,,1,1,1,3
11/21,15:36,Other,1,,,,,2,,,,3
11/21,15:42,Other,,,,,,3,1,,,4
11/21,16:14,Other,,,,,,2,1,,,3
11/21,16:15,Other,,,,,1,2,,,,3
11/21,16:17,Other,,,,,,,2,,1,3
11/21,16:23,Other,,,,,,2,1,,,3
11/21,16:29,Other,,,,,,2,,1,1,4
11/21,16:30,Other,,,,,,2,,,1,3
11/22,17:09,Other,,,,,,3,1,,,4
11/22,17:18,Other,,,,,,2,,,1,3
11/22,18:45,Other,,,,,1,1,1,,,3
11/22,18:54,Other,,,,,1,1,1,,,3
11/22,19:00,Other,1,,,,,2,,,,3
11/23,6:42,Other,,,,,,2,,,1,3
11/23,6:44,Other,,,,,1,1,,1,,3
11/23,7:27,Other,1,,,,,1,,1,,3
11/23,7:32,Other,1,,,,1,1,,,,3
11/23,8:35,Mapunapuna Garden Relief,,,,,,1,,1,1,3
11/23,8:40,Mapunapuna Garden Relief,1,,,,,1,1,,,3
11/23,8:46,Mapunapuna Garden Relief,1,1,,,,2,,,,4
11/23,8:54,Mapunapuna Garden Relief,,,,,,2,,,1,3
11/23,8:59,Mapunapuna Garden Relief,1,,,,,2,,,,3
11/23,9:09,Mapunapuna Garden Relief,,,,,,1,1,,1,3
11/23,9:23,Mapunapuna Garden Relief,,1,,,,1,1,,,3
11/23,9:29,Mapunapuna Garden Relief,1,,,,,2,,,,3
11/23,9:35,Mapunapuna Garden Relief,1,,,,,,1,,1,3
11/23,9:41,Mapunapuna Garden Relief,1,,,,,1,1,,,3
11/23,9:46,Mapunapuna Garden Relief,,,,,1,,,1,1,3
11/23,9:53,Mapunapuna Garden Relief,,1,1,,,1,,,,3
11/23,9:59,Mapunapuna Garden Relief,,,,,,2,1,,,3
11/23,10:05,Mapunapuna Garden Relief,,,,,,1,1,,1,3
11/23,10:11,Mapunapuna Garden Relief,1,,,,,1,1,,,3
11/23,10:16,Mapunapuna Garden Relief,,,,,,4,,,,4
11/23,10:52,Mapunapuna Garden Relief,1,,,,1,,1,,,3
11/23,11:00,Mapunapuna Garden Relief,,,1,,1,,,1,,3
11/23,11:05,Mapunapuna Garden Relief,,,,,,1,1,,1,3
11/23,11:11,Mapunapuna Garden Relief,1,,,,,1,,1,,3
11/23,11:16,Mapunapuna Garden Relief,,,,,,2,1,,,3
11/23,11:23,Mapunapuna Garden Relief,1,,,,,2,,,,3
11/23,11:28,Mapunapuna Garden Relief,1,,,,,1,1,,,3
11/23,11:35,Mapunapuna Garden Relief,,,,,,3,,,,3
11/23,11:41,Mapunapuna Garden Relief,,1,,,,2,,,,3
11/23,11:47,Mapunapuna Garden Relief,,,,,,2,1,,,3
11/23,11:52,Mapunapuna Garden Relief,,,,,,,3,,,3
11/23,11:58,Mapunapuna Garden Relief,1,,,,,,2,,,3
11/23,12:05,Mapunapuna Garden Relief,,,,,,2,1,,,3
11/23,12:12,Mapunapuna Garden Relief,1,,,,,2,,,,3
11/23,12:18,Mapunapuna Garden Relief,,,,,,2,1,,,3
11/23,12:23,Mapunapuna Garden Relief,,,,,,3,,,,3
11/23,12:29,Mapunapuna Garden Relief,1,,,,,1,1,,,3
11/23,12:35,Mapunapuna Garden Relief,,,,,,2,1,,,3
11/23,12:41,Mapunapuna Garden Relief,,,,,,3,,,,3
11/26,18:18,Other,,,,,,3,,,,3
11/27,13:11,Other,,,,,,4,,,,4
11/27,13:13,Other,3,,,,,,,,,3
11/27,15:45,Other,,1,,,,2,,,,3
11/27,15:48,Other,1,,,,,1,1,,,3
11/28,6:45,Other,,1,,,,2,1,,,4
11/28,6:46,Other,,1,,,,,1,1,,3
11/28,7:28,Other,,,,,,3,,,,3
11/28,7:35,Other,1,1,,,,1,1,,1,5
11/28,8:18,Mapunapuna Garden Relief,1,,,,,,1,1,,3
11/28,8:29,Mapunapuna Garden Relief,,1,,,,2,,,,3
11/28,8:36,Mapunapuna Garden Relief,,,,,,1,2,,,3
11/28,8:44,Mapunapuna Garden Relief,2,,,,,1,,,,3
11/28,8:51,Mapunapuna Garden Relief,1,,,,,2,,,,3
11/28,9:00,Mapunapuna Garden Relief,,2,,,,,1,,,3
11/28,9:06,Mapunapuna Garden Relief,,,,,1,2,,,,3
11/28,9:11,Mapunapuna Garden Relief,2,,,,,,1,,,3
11/28,9:18,Mapunapuna Garden Relief,,,,,,3,,,,3
11/28,9:24,Mapunapuna Garden Relief,1,,1,,,1,,,,3
11/28,9:30,Mapunapuna Garden Relief,,,,,,1,2,,1,4
11/28,10:33,Mapunapuna Garden Relief,1,,,,,1,1,,,3
11/28,10:41,Mapunapuna Garden Relief,,1,,,,1,1,1,,4
11/28,10:47,Mapunapuna Garden Relief,1,1,,,,2,,,,4
11/28,10:53,Mapunapuna Garden Relief,1,,,,,,1,1,,3
11/28,11:05,Mapunapuna Garden Relief,1,,,,,1,1,,,3
11/28,11:11,Mapunapuna Garden Relief,,,1,,,2,,,,3
11/28,11:17,Mapunapuna Garden Relief,,,,,1,3,,,,4
11/28,11:49,Mapunapuna Garden Relief,,,,,,1,2,,,3
11/29,7:48,Other,1,,,,,1,1,,1,4
11/29,16:10,Other,,,,,1,1,1,,,3
11/29,16:18,Other,,,1,,,1,,1,,3
11/29,16:28,Other,1,,1,,1,,,,,3
11/29,16:37,Other,,,,,,,3,,,3
11/29,16:37,Other,1,1,,,,2,,,,4
11/29,16:43,Other,,,,,,1,1,,1,3
11/29,16:44,Other,,,,,,2,,,1,3
11/29,16:49,Other,,,,,,3,,1,,4
11/29,16:55,Other,,1,,,,1,,,1,3
11/29,16:56,Other,,,,,1,1,1,,,3
11/29,17:02,Other,,,,,,2,,,1,3
11/29,17:03,Other,1,,,,,3,,,,4
11/29,17:08,Other,,,,,,1,2,,,3
11/29,17:08,Other,,,,,,2,,1,,3
11/29,17:20,Other,,,,,,2,2,,,4
11/29,17:20,Other,1,,,,,3,,,,4
11/29,19:03,Other,,,,,,3,,,,3
11/29,19:03,Other,,,,,,2,,,1,3
11/29,19:03,Other,,1,,,1,1,,1,,4
11/29,19:04,Other,,,,,,4,1,1,,6
11/30,6:43,Other,,,,,,1,2,,,3
11/30,6:44,Other,,,,,,3,,,,3
11/30,7:27,Other,,,,,,2,,,1,3
11/30,7:33,Other,3,,,,,,,,,3
11/30,12:36,Mapunapuna Garden Relief,,1,,,,1,1,,,3
11/30,12:41,Mapunapuna Garden Relief,,,,,,2,1,,,3
11/30,12:47,Mapunapuna Garden Relief,1,1,,,,1,,,,3
11/30,12:54,Mapunapuna Garden Relief,2,,,,,1,,,,3
11/30,13:00,Mapunapuna Garden Relief,1,,,,,2,,,,3
11/30,13:05,Mapunapuna Garden Relief,2,,,,,1,,,,3
11/30,13:13,Mapunapuna Garden Relief,1,,,,,2,,,,3
11/30,13:18,Mapunapuna Garden Relief,1,,,,,2,,,,3
11/30,15:17,Mapunapuna Garden Relief,,,,,,2,,,1,3
11/30,15:24,Mapunapuna Garden Relief,,,,,,2,1,,,3
11/30,15:29,Mapunapuna Garden Relief,1,,1,,,,1,,,3
11/30,15:35,Mapunapuna Garden Relief,,,1,,,2,,,,3
11/30,15:41,Mapunapuna Garden Relief,1,,,,,,1,,,2
11/30,15:47,Mapunapuna Garden Relief,,1,,,,1,,,1,3
11/30,15:55,Mapunapuna Garden Relief,,,,,,1,2,,,3
11/30,16:00,Mapunapuna Garden Relief,,,1,,,2,,,,3
11/30,16:07,Mapunapuna Garden Relief,,,1,,1,1,,,,3
12/1,17:29,Other,,1,,,,2,,,,3
12/1,19:04,Other,,,,,,2,,1,,3
12/2,7:29,Mapunapuna Garden Relief,,1,,,,2,,,,3
12/2,7:39,Mapunapuna Garden Relief,,,,,,2,,,1,3
12/2,7:44,Mapunapuna Garden Relief,1,,,,,2,,,,3
12/2,7:50,Mapunapuna Garden Relief,,,,,,3,,,,3
12/2,7:56,Mapunapuna Garden Relief,,,,,1,2,,,,3
12/2,8:02,Mapunapuna Garden Relief,2,,,,,,1,,,3
12/2,8:08,Mapunapuna Garden Relief,,,,,1,2,,,,3
12/2,8:14,Mapunapuna Garden Relief,2,,,,,,1,,,3
12/2,8:21,Mapunapuna Garden Relief,,1,,,,,,1,1,3
12/2,8:27,Mapunapuna Garden Relief,,,,,,2,,1,,3
12/2,8:32,Mapunapuna Garden Relief,1,,,,,,2,,,3
12/2,8:40,Mapunapuna Garden Relief,1,1,,,,1,,,,3
12/2,8:45,Mapunapuna Garden Relief,1,,,,,2,,,,3
12/2,8:50,Mapunapuna Garden Relief,1,1,,,,1,,,,3
12/2,8:56,Mapunapuna Garden Relief,1,,,,,1,1,,,3
12/2,9:03,Mapunapuna Garden Relief,,,1,,,2,,,,3
12/2,9:08,Mapunapuna Garden Relief,,,,,,2,,,1,3
12/2,9:14,Mapunapuna Garden Relief,,,,,,,2,1,,3
12/2,9:20,Mapunapuna Garden Relief,,,,,,3,,,1,4
12/2,9:26,Mapunapuna Garden Relief,,,,,,3,,,,3
12/2,9:32,Mapunapuna Garden Relief,,,,,1,,3,,,4
12/2,9:38,Mapunapuna Garden Relief,2,,,,,1,,,,3
12/2,9:44,Mapunapuna Garden Relief,,,1,,,2,,,,3
12/2,9:51,Mapunapuna Garden Relief,,,,,,,2,,1,3
12/16,7:44,Other,,,,1,,2,,,,3
12/16,7:47,Other,,,,,,3,,,,3
12/16,7:50,Other,,,,,,1,1,1,,3
12/16,7:55,Other,1,,,,,1,,,1,3
12/16,7:56,Other,1,,,,,2,,,,3
12/16,11:19,Mapunapuna Garden Relief,,2,,,,1,1,,,4
12/16,11:24,Mapunapuna Garden Relief,,,,,,3,,,,3
12/16,11:29,Mapunapuna Garden Relief,,,,,,3,,,,3
12/16,11:36,Mapunapuna Garden Relief,,,,,,2,1,,,3
12/16,11:42,Mapunapuna Garden Relief,,,,,,2,,1,,3
12/16,11:48,Mapunapuna Garden Relief,,,,,,1,1,,1,3
12/16,11:54,Mapunapuna Garden Relief,1,,,,,1,2,,,4
12/16,12:00,Mapunapuna Garden Relief,,,,,,2,,1,,3
12/16,12:05,Mapunapuna Garden Relief,,,,,,4,,,,4
12/16,12:10,Mapunapuna Garden Relief,,,,,,2,1,,,3
12/16,12:16,Mapunapuna Garden Relief,,,,,,3,,,,3
12/16,12:21,Mapunapuna Garden Relief,,,,,1,2,,,,3
12/16,12:27,Mapunapuna Garden Relief,,,,,,2,,1,,3
12/16,12:33,Mapunapuna Garden Relief,,,,,,1,,1,1,3
12/16,12:38,Mapunapuna Garden Relief,,,,,,1,2,,,3
12/16,12:43,Mapunapuna Garden Relief,,,,,,4,,,,4
12/16,12:49,Mapunapuna Garden Relief,,,,,,2,1,,,3
12/16,12:56,Mapunapuna Garden Relief,1,,,,,1,1,,,3
12/16,13:03,Mapunapuna Garden Relief,,,,,1,1,1,,,3
12/16,13:08,Mapunapuna Garden Relief,,1,,,,2,,,,3
12/16,13:15,Mapunapuna Garden Relief,,,,,,2,,,2,4
12/16,15:03,Mapunapuna Garden Relief,,,,,,2,2,,,4