Teacher,Period,Table,5 min,10 min,15 min,20 min,Age
Ching,1,a,18,42,67,92,Young
Ching,1,b,150,210,330,,Young
Ching,1,c,85,208,282,,Young
Ching,1,d,114,188,312,410,Young
Ching,1,e,,,,,Young
Ching,2,a,88,166,233,314,Young
Ching,2,b,59,101,156,203,Young
Ching,2,c,71,126,193,259,Young
Ching,2,d,69,142,201,267,Young
Ching,2,e,,,,,Young
Ching,5,a,84,87,78,77,Young
Ching,5,b,65,140,201,266,Young
Ching,5,c,45,93,139,179,Young
Ching,5,d,68,117,170,223,Young
Ching,5,e,,,,,Young
Ching,6,a,84,150,219,329,Young
Ching,6,b,66,133,191,246,Young
Ching,6,c,51,95,136,180,Young
Ching,6,d,54,125,193,280,Young
Ching,6,e,,,,,Young
Ching,8,a,82,185,235,311,Young
Ching,8,b,57,115,175,225,Young
Ching,8,c,52,97,143,173,Young
Ching,8,d,,,,,Young
Ching,8,e,,,,,Young
Kusao,2,a,120,210,330,405,Young
Kusao,2,b,75,147,182,255,Young
Kusao,2,c,86,144,208,248,Young
Kusao,2,d,,,,,Young
Kusao,2,e,,,,,Young
Kusao,3,a,153,292,357,395,Young
Kusao,3,b,47,95,127,169,Young
Kusao,3,c,60,130,185,260,Young
Kusao,3,d,58,109,159,203,Young
Kusao,3,e,,,,,Young
Kusao,4,a,92,221,337,413,Young
Kusao,4,b,83,163,233,307,Young
Kusao,4,c,81,144,210,263,Young
Kusao,4,d,104,222,354,421,Young
Kusao,4,e,,,,,Young
Kusao,7,a,73,138,194,251,Young
Kusao,7,b,50,110,152,206,Young
Kusao,7,c,118,194,206,365,Young
Kusao,7,d,40,83,120,159,Young
Kusao,7,e,,,,,Young
Kusao,8,a,0,56,123,180,Young
Kusao,8,b,60,130,200,260,Young
Kusao,8,c,,,,,Young
Kusao,8,d,39,81,113,164,Young
Kusao,8,e,,,,,Young
Lee,1,a,84,162,250,312,Old
Lee,1,b,,149,208,285,Old
Lee,1,c,95,160,220,330,Old
Lee,1,d,92,181,274,361,Old
Lee,1,e,,,,,Old
Lee,3,a,58,134,201,275,Old
Lee,3,b,62,115,170,212,Old
Lee,3,c,93,184,266,344,Old
Lee,3,d,75,139,207,265,Old
Lee,3,e,,,,,Old
Lee,4,a,,,,,Old
Lee,4,b,,,,,Old
Lee,4,c,91,180,256,343,Old
Lee,4,d,58,139,203,257,Old
Lee,4,e,,,,,Old
Lee,5,a,71,125,179,241,Old
Lee,5,b,61,106,151,180,Old
Lee,5,c,,,,,Old
Lee,5,d,50,85,126,168,Old
Lee,5,e,,,,,Old
Lee,6,a,66,134,203,255,Old
Lee,6,b,17.5,32.5,48.5,62,Old
Lee,6,c,8,13,13,13,Old
Lee,6,d,38.5,85.5,130.5,173,Old
Lee,6,e,,,,,Old
Lee,8,a,,,,,Old
Lee,8,b,,,,,Old
Lee,8,c,,,,,Old
Lee,8,d,,,,,Old
Lee,8,e,,,,,Old
Chan,7,a,45,85,130,175,Old
Chan,7,b,72,137,201,249,Old
Chan,7,c,54,86,125,164,Old
Chan,7,d,73,147,215,285,Old
Chan,7,e,,,,,Old
Ching,1,a,7,40,80,115,Old
Ching,1,b,30,80,110,,Old
Ching,1,c,20,48,72,,Old
Ching,1,d,50,75,99,119,Old
Ching,1,e,,,,,Old
Ching,2,a,23,49,73,99,Old
Ching,2,b,25,43,78,104,Old
Ching,2,c,23,45,65,90,Old
Ching,2,d,25,48,67,88,Old
Ching,2,e,,,,,Old
Ching,5,a,35,39,40,31,Old
Ching,5,b,10,25,47,72,Old
Ching,5,c,27,56,83,112,Old
Ching,5,d,3,6,6,6,Old
Ching,5,e,,,,,Old
Ching,6,a,40,90,136,170,Old
Ching,6,b,20,45,65,86,Old
Ching,6,c,30,59,83,110,Old
Ching,6,d,55,96,130,170,Old
Ching,6,e,,,,,Old
Ching,8,a,20,76,95,125,Old
Ching,8,b,47,59,79,110,Old
Ching,8,c,39,68,105,,Old
Ching,8,d,,,,,Old
Ching,8,e,,,,,Old
Kusao,2,a,50,85,130,155,Old
Kusao,2,b,35,70,80,113,Old
Kusao,2,c,37,55,83,109,Old
Kusao,2,d,,,,,Old
Kusao,2,e,,,,,Old
Kusao,3,a,62,98,133,162,Old
Kusao,3,b,12,25,40,54,Old
Kusao,3,c,30,60,90,110,Old
Kusao,3,d,35,68,87,100,Old
Kusao,3,e,,,,,Old
Kusao,4,a,39,87,135,174,Old
Kusao,4,b,39,73,111,141,Old
Kusao,4,c,44,73,102,135,Old
Kusao,4,d,23,51,79,96,Old
Kusao,4,e,,,,,Old
Kusao,7,a,30,65,94,125,Old
Kusao,7,b,25,43,62,85,Old
Kusao,7,c,33,40,89,158,Old
Kusao,7,d,12,25,38,40,Old
Kusao,7,e,,,,,Old
Kusao,8,a,26,57,88,114,Old
Kusao,8,b,40,50,110,140,Old
Kusao,8,c,,,,,Old
Kusao,8,d,21,41,66,91,Old
Kusao,8,e,,,,,Old
Lee,1,a,35,70,110,145,Old
Lee,1,b,23,42,62,83,Old
Lee,1,c,40,70,90,140,Old
Lee,1,d,19,40,63,82,Old
Lee,1,e,,,,,Old
Lee,3,a,1,8,9,10,Old
Lee,3,b,,,,,Old
Lee,3,c,26,50,73,94,Old
Lee,3,d,20,43,67,87,Old
Lee,3,e,,,,,Old
Lee,4,a,33,54,106,124,Old
Lee,4,b,61,70,98,120,Old
Lee,4,c,27,55,82,102,Old
Lee,4,d,25,50,73,87,Old
Lee,4,e,,,,,Old
Lee,5,a,36,67,98,129,Old
Lee,5,b,48,141,173,198,Old
Lee,5,c,,,,,Old
Lee,5,d,20,38,55,74,Old
Lee,5,e,,,,,Old
Lee,6,a,50,95,127,154,Old
Lee,6,b,,,,,Old
Lee,6,c,,,,,Old
Lee,6,d,16,35,55,75,Old
Lee,6,e,,,,,Old
Lee,8,a,,,,,Old
Lee,8,b,,,,,Old
Lee,8,c,,,,,Old
Lee,8,d,,,,,Old
Lee,8,e,,,,,Old
Chan,7,a,13,32,45,60,Old
Chan,7,b,23,46,68,90,Old
Chan,7,c,29,54,78,103,Old
Chan,7,d,35,80,122,,Old
Chan,7,e,,,,,Old