Week,Team,Score
1,ADG,130.6
1,SPT,231.4
1,ADK,179.5
1,MAX,206.7
1,SOTT,146.7
1,Y,191.6
1,CL,161.5
1,SJSL,194.5
2,ADG,170.1
2,CL,204.1
2,Y,191.5
2,MAX,142.2
2,SOTT,139.7
2,ADK,136.2
2,SPT,175.4
2,SJSL,154.6
3,ADG,190.9
3,SJSL,193
3,Y,177.8
3,ADK,197.5
3,SOTT,122.4
3,MAX,205.9
3,SPT,150.6
3,CL,162.7
4,SOTT,142.7
4,ADG,176.5
4,ADK,145.2
4,CL,220.2
4,Y,154.6
4,SPT,211.1
4,MAX,149.1
4,SJSL,110.6
5,Y,165.3
5,ADG,209.4
5,ADK,174.2
5,SJSL,173.9
5,SOTT,191.8
5,SPT,146.7
5,MAX,143.5
5,CL,161.6
6,MAX,152.9
6,ADG,161.5
6,Y,185.1
6,SJSL,149.5
6,SOTT,135.9
6,CL,150.8
6,ADK,200.5
6,SPT,173.5
7,ADK,151.4
7,ADG,146.6
7,Y,165.4
7,CL,183.5
7,SOTT,153.5
7,SJSL,195.6
7,MAX,133.2
7,SPT,149.5
8,SPT,148.3
8,ADG,170.6
8,MAX,148.5
8,ADK,218.1
8,Y,197.1
8,SOTT,175.5
8,SJSL,167.2
8,CL,146.7
9,CL,180.3
9,ADG,178.2
9,MAX,166.7
9,Y,184.9
9,ADK,137.3
9,SOTT,148.4
9,SJSL,187.1
9,SPT,172.1
10,SJSL,204.3
10,ADG,172.3
10,ADK,118.4
10,Y,199.7
10,MAX,215
10,SOTT,177.2
10,CL,198.1
10,SPT,112.7
11,ADG,160.1
11,SOTT,174.7
11,CL,134.1
11,ADK,168.8
11,SPT,148.5
11,Y,149.5
11,SJSL,160.2
11,MAX,156.9
12,ADG,194.7
12,Y,201.4
12,SJSL,182.9
12,ADK,171.1
12,SPT,184.5
12,SOTT,172.9
12,CL,150.4
12,MAX,155.9